会社名,仕事内容,勤務地,初年度年収,対象となる方,給与,情報更新日
東建コーポレーション株式会社,地域のお客さまへの「土地活用の提案営業」です。充実の研修・教育体制があるので、未経験でも全く問題ありません！,◆全国の各拠点 自宅近くの拠点での勤務希望を考慮します。 ※Ｉ＆Ｕターン歓迎！ ※各事業所の詳しい…,400万円～800万円,【業界・営業未経験者歓迎】◆高卒以上／要普免(AT限定可)／さまざまな業界・職種からの転職者が多数！充実の教育・研修があるのでご安心を！,"月給26万3,000円以上＋諸手当＋業績連動成果給 ※月給は、固定残業代【47時間分（6万9,000円以上）】を含…",2020/12/25
楽天スーパーロジスティクス株式会社,物流拠点となる楽天フルフィルメントセンターでの現場運営・管理業務。入荷、出荷、在庫管理のほか、経験に応じて業務の改善提案等もお任せします。,★U/Iターン歓迎！ ■千葉県 市川I／千葉県市川市塩浜1-7-2 市川II／千葉県市川市塩浜1-…,,◆高卒以上（社会人経験3年以上）または大卒以上（社会人経験2年以上）の方　※物流業界での経験は必須ではありません【年間休日123日】,"月給：21万9,500円〜＋業績賞与 ※上記には固定残業代(5万2,791円〜／40時間分)を含む。 ※超過分別途支…",2020/12/25
東建コーポレーション株式会社,土地をお持ちのオーナー様に対しての「土地活用の提案営業」です。充実の研修・教育体制があるので、未経験からでも全く問題ありません。,◆全国の各拠点 自宅近くの拠点での勤務希望を考慮します。 ※Ｉ＆Ｕターン歓迎！ ※各事業所の詳しい…,400万円～800万円,◎高卒以上　◎転職回数は不問　◎非正規雇用の方もOK！さまざまな業界からの転職者が活躍中です。,"月給26万3,000円以上＋諸手当＋業績連動成果給 ※月給は、固定残業代【47時間分（6万9,000円以上）】を含…",2020/12/25
DSP株式会社,☆データ入力などの事務業務や問い合わせ対応をお任せします。☆先輩が丁寧にサポート！未経験から必要な知識やスキルが身につきます！,《北海道・東京・神奈川・埼玉・大阪・兵庫・福岡で募集中！》 ◎希望勤務地考慮 ◎UIターン歓迎！…,250万円～400万円,＼20代の女性が活躍している職場♪／【未経験・第二新卒歓迎！】◎30歳以下の方 ◎社会人デビューや元フリーターの先輩たちも活躍しています♪,月給20万円〜28万円＋賞与 ※スキルや能力などを考慮の上で、決定いたします。 ※試用期間1〜6ヶ月間あ…,2020/12/25
DSP株式会社,＼同期と一緒にスタートできるから安心です♪／★簡単な電話対応やデータ入力などの事務業務、もしくは問い合わせ対応をお任せします。,【北海道・東京・神奈川・埼玉・大阪・兵庫・福岡で募集中！UIターン歓迎！】 ★駅チカオフィスで通勤…,250万円～400万円,＼学歴や社会人経験不問！完全未経験・第二新卒歓迎！／★30歳以下の方★社会人デビューも歓迎！元フリーターや元ニートの先輩たちも活躍中！,月給20万円〜28万円＋賞与 ★あなたのスキルや能力を考慮して、決定します。 ※試用期間1〜6ヶ月間あり…,2020/12/25
DSP株式会社,☆簡単な電話対応やデータ入力などの事務業務、もしくは問い合わせ対応をお任せします。◎同期と一緒にスタートできるからご安心ください！,＼北海道・東京・神奈川・埼玉・大阪・兵庫・福岡で募集中！／ ◎UIターン歓迎！ ◎駅チカオフィスで…,250万円～400万円,【30歳以下の方！完全未経験・第二新卒歓迎！】◎社会人デビューや元フリーター、元ニートの先輩たちも活躍しています♪※経験は一切問いません！,月給20万円〜28万円＋賞与 ※スキルや能力などを考慮の上で、決定いたします。 ※試用期間1〜6ヶ月間あ…,2020/12/25
株式会社ロジカル,【夜間配送や休日出勤は100％ありません】★決まったルートで生協の組合員さん宅に食品や日用品をお届け★有給を時間ごとに消化OKで自由に働ける◎,＼転勤なし！地域密着で長く働きたい方歓迎／ 【江戸川・横須賀事業所で採用強化中】 ★東京・神奈川の…,350万円～400万円,【未経験でも普通免許があればOKなので始めやすい！学歴・経験・転職回数一切不問】★平均年齢32歳！定昇1回＋人事考課2回＆歩合給で収入アップ実現！,"月給：26万7,823円以上＋諸手当＋歩合給 ※固定残業代8万1,323円以上・月60時間分を含みます（超過分は別…",2020/12/25
東建コーポレーション株式会社,土地をお持ちのオーナー様に対しての「土地活用の提案営業」です。充実の研修・教育体制があるので、未経験からでも全く問題ありません,◆全国の各拠点 自宅近くの拠点での勤務希望を考慮します。 ※Ｉ＆Ｕターン歓迎！ ※各事業所の詳しい…,400万円～800万円,◎高卒以上◎未経験・異業種からの転職歓迎します！今よりもっと安定した環境で収入を上げていきたい方,"月給26万3,000円以上＋諸手当＋業績連動成果給 ※月給は、固定残業代【47時間分（6万9,000円以上）】を含…",2020/12/25
株式会社アウトソーシングテクノロジー,＜最新技術・RPAに携われる＞◆未経験・経験の浅い方は研修から！経験者は希望するプロジェクトで活躍！★注目の最先端技術を扱うエンジニアへ成長！,＜転勤・転居なし★お住まいからの通勤圏内！＞ ◆東京都千代田区丸の内1-8-3 丸の内トラストタワ…,300万円～1000万円,＜学歴・年齢・文理・経験不問＞★ITプロジェクトでの業務経験がある方（分野不問）※未経験者・経験の浅い方も意欲重視の積極採用中です！,"◆経験者：月給30万円〜78万円＋各種手当・報奨金 ※上記金額は35時間の固定残業代（月64,015円〜166,425…",2020/12/22
株式会社エー・エス・エル,《AWS/コンテナ/Infrastructure as Code等の注目トレンド案件多数！》◆スキルや志向に応じて開発系orインフラ系の案件で活躍！※自社内開発あり,東京都、埼玉県、神奈川県、千葉県内のプロジェクト先 ※希望、お住まいを考慮の上、決定します。 ※転…,400万円～800万円,《複数名採用予定！》◎学歴不問 ◎ITエンジニアとしての何らかの実務経験（システム・インフラ不問）★転職回数やブランク等も不問です！,月給30万円〜　＋　賞与年3回 ※入社時点で、前職時の給与額を保証します！ ※経験・スキルなどを考慮の…,2020/12/15
