会社名,仕事内容,勤務地,初年度年収,対象となる方,給与,情報更新日
株式会社ライジングサンセキュリティーサービス,【施設での出入管理などの警備・受付業務等をお任せします！】★資格取得を全面サポート！★社宅や寮を完備なので、通勤も楽々です♪,＜茨城県ひたちなか市・水戸市・つくば市・土浦市の各現場＞ ※ご希望に応じて配属現場を決定します ※…,300万円～500万円,【シニアや育児中のスタッフも活躍中！】学歴・経験・性別・年齢も一切不問。ご応募いただいた方とは全員との面接をお約束します！,月給24万円〜40万円 ※時間外手当は別途支給 ※上記はあくまでも最低補償額。勤務地によって異なります。…,2020/11/24
株式会社ビッグモーター,【20代の女性活躍中♪】来店されたお客さまの受付、データ入力、電話対応などをお任せします。,☆転勤なし！全国募集＆勤務地は希望考慮♪ ☆オープニング募集あり！ ☆マイカー通勤OK♪ ■宮城県…,300万円～550万円,【未経験・第二新卒歓迎！学歴不問＆年齢不問♪】＼人柄重視！クルマの知識も問いません！／ ★大手ならではの嬉しい福利厚生♪,【東京・千葉・埼玉エリア】 ◆月給25万3600円〜38万5200円 ＋ 賞与年2回 ＋ インセンティブ ＋ 諸手当 …,2020/11/24
ケイアイスター不動産株式会社,＜★年齢や経験問わず、スピーディーに成長＆キャリアUPできる↑＞ 分譲住宅の購入を検討しているお客様に最適な住まいの提案等を行うお仕事です。,★各営業所（埼玉・茨城・栃木・群馬）に配属となります。 ★マイカー通勤OK！駐車場も完備しています…,400万円～700万円,＜★未経験・第二新卒歓迎！学歴不問！＞ ◆要普免（AT限定可）※大きな夢を持って仕事に取り組める方を歓迎！残業月20h程・完休2日などメリハリ◎,月給21万円〜24.5万円 ＋歩合給＋各種手当（役職・家族・資格等）+ 昇給・賞与 ※経験・年齢を考慮し、当…,2020/11/24
DSP株式会社,研修後【営業・広報・人事・総務・経理など】いずれかにてお仕事スタート!★やりたいことを一緒に見つけていきましょう☆,★転勤なし/希望勤務地考慮/UIターン歓迎 <本社又は各拠点、プロジェクト先> ■東京都 大田区/…,400万円～1000万円,【学歴/経歴一切不問！完全未経験・第二新卒も歓迎！】★ご自身のスキルに自信がない方もぜひご応募ください！当社は全力でサポートしていきます！,月給22万円〜50万円 ※上記に固定残業38時間分(4万9千円〜)を含む。超過分は別途支給。 ▼福岡県・熊本…,2020/11/25
株式会社ファミリー工房,【能力と実績を待遇面にしっかりと反映！】 ◆経験とスキルを考慮した上で【リフォーム営業/不動産営業/施工管理/建築士】いずれかをお任せします,本社・世田谷支店のいずれかに勤務！（希望勤務地は考慮♪） ■足立本社／東京都足立区大谷田4-1-2…,450万円～850万円,【成長企業の中心メンバーとして活躍！】 ◆【リフォーム営業/不動産営業(仲介・売買)/建築施工管理/建築設計】※いずれかの経験をお持ちの方,月給35万円〜60万円 ※経験・年齢・能力・前職給与を考慮の上、決定いたします。 ※試用期間6ヶ月有（期…,2020/10/27
Rセキュリティ株式会社,【キッチン・洗面台等の上水道関連が多数】水回りのトラブルを抱えるお客様をレスキュー！★『水の学校』で基礎から学べるからスタートアップも安心！,★希望勤務地へ配属！ ★品川/難波/名古屋/新小岩/八王子/神戸/福岡のいずれかで勤務！ 【品川本…,450万円～550万円,"【""先輩全員""が未経験からのスタート！】学歴・職歴不問★未経験／第二新卒／フリーターの方まで幅広く歓迎★飲食/警備/営業/SEなど先輩の前職も多彩",月給25万円以上＋インセンティブ(歩合)＋シフト手当＋営業手当 ★年収1000万円可能 ★平均月収45万9809円…,2020/11/24
株式会社ビッグモーター,【残業ほぼナシ／月8～10日休み】ご来店されたお客様のご案内やパソコン入力、電話対応などをお任せ。事務も接客もほど良く楽しめます♪,☆転勤なし！全国に勤務地あり！勤務地は希望考慮 ☆マイカー通勤OK ■宮城県名取市 ■東京都多摩市…,300万円～550万円,【第二新卒歓迎／経験不問／年齢不問】■高卒以上 ☆育休産休取得&復帰実績多数あり！◎事務や接客の経験、クルマの知識も一切不要！,"【東京・千葉・埼玉エリア】 ◆月給25万3,600円〜38万5,200円 ＋ 賞与年2回 ＋ インセンティブ ＋ 諸手当…",2020/11/24
株式会社早稲田学習研究会,小・中・高校生いずれかの授業を担当します。生徒一人ひとりをしっかりと見つめ、志望校合格に向けて全力を尽くします。,群馬・栃木・埼玉・東京 ★面接時の交通費は全額会社が負担します。 【群馬県】 太田市、前橋市、高崎…,540万円～800万円,【業界未経験者を求めます！】★教員免許不問・異業種出身者が多数活躍中！★一見すると何も関係がない業界の方が、その経験を活かしています。,月給40万円以上★賞与60万円〜400万円(2019年度実績) --------------------------------------------- ※…,2020/11/24
株式会社エヌ事業hoop,【景気に左右されない安定した業界！】ハウスメーカーや不動産企業などへの法人営業をご担当いただきます【ほぼ定時退社でオフも充実！メリハリ◎】,★駅徒歩1分！通勤便利！ 東京都練馬区関町北2-24-13　銀雅パレス2-406,400万円～600万円,【未経験OK◆学歴不問◆人柄＆意気込み重視の採用】★20～30代活躍中！★なんらかの営業経験 or 建設業界での経験がある方はなお歓迎！,月給23万円〜35万円＋歩合・手当 ※試用期間3ヶ月あり（待遇に変更なし） ※上記の給与には固定残業代（…,2020/11/24
株式会社トップ,【 教育体制に自信あり!! 】◆企業やお店へ、通信・OA機器や防犯セキュリティシステム、LED照明などのご提案をお任せします。,希望を考慮し、適性により配属決定 東京都港区/新宿区/品川区/豊島区/町田市/立川市/横浜市 さい…,350万円～1000万円,【 未経験・第二新卒歓迎 】◆40歳までの方※ ◆要普免（AT限定可）◆新しいことに挑戦し、チャンスを掴みたい方を大歓迎！※20代~30代が中心に活躍中,月給26万5000円以上＋インセンティブ＋賞与＋通勤交通費（月最大10万円まで） ※成果次第で随時、昇給・…,2020/11/24
